Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
91	1	3.598200	52123	52.123000	0.963876	0.979484	1.000000	0.875839	0.192845	0.159613	0.174221	0.170620	0.781133	0.609021	0.707539	0.402268	0.693897	0.574318	0.626883	0.613926	Liopholis_slateri	
92	1	4.681900	49683	49.683000	0.956688	1.030592	1.000000	0.816900	0.191814	0.165476	0.174613	0.173041	1.016393	0.792445	0.920635	0.523422	0.898055	0.774743	0.817521	0.810162	Liopholis_inornata	
93	1	5.669950	45859	45.859000	0.966029	1.013214	1.000000	0.801938	0.193576	0.165119	0.176693	0.158292	1.230889	0.959679	1.114922	0.633884	1.097564	0.936218	1.001842	0.897506	Liopholis_sp.nov2	
94	2	3.453562	46659	46.659000	1.362633	0.997144	1.000000	2.522380	0.270774	0.173648	0.185995	0.473735	0.749733	0.584540	0.679098	0.386098	0.935135	0.599702	0.642344	1.636073	Liopholis_kintorei,Liopholis_striata	
95	1	4.306200	44456	44.456000	1.012739	1.022572	1.000000	0.858306	0.202907	0.163356	0.181469	0.166977	0.934832	0.728855	0.846758	0.481420	0.873758	0.703445	0.781442	0.719035	Liopholis_striata	
96	1	4.306200	46513	46.513000	1.354081	0.993516	1.000000	2.433014	0.268645	0.174116	0.186838	0.459252	0.934832	0.728855	0.846758	0.481420	1.156840	0.749780	0.804562	1.977630	Liopholis_kintorei	
97	1	9.612325	38037	38.037000	1.019470	1.010366	1.000000	1.059361	0.204642	0.170633	0.181138	0.212037	2.086739	1.626954	1.890139	1.074629	1.967085	1.640184	1.741162	2.038173	Liopholis_multiscutata	
98	2	3.900621	38453	38.453000	1.137230	1.027238	1.000000	1.655914	0.226985	0.171712	0.184822	0.320724	0.846785	0.660208	0.767006	0.436078	0.885384	0.669784	0.720921	1.251023	Liopholis_margaretae,Liopholis_modesta	
99	1	10.831000	37671	37.671000	1.016302	0.993871	1.000000	0.876409	0.204168	0.162993	0.183444	0.178195	2.351301	1.833224	2.129775	1.210874	2.211349	1.765375	1.986877	1.930032	Liopholis_modesta	
100	1	10.831000	39563	39.563000	1.295491	0.934831	1.000000	2.169627	0.254910	0.175344	0.188227	0.398397	2.351301	1.833224	2.129775	1.210874	2.760929	1.899150	2.038687	4.315034	Liopholis_margaretae	
101	4	2.019279	35353	35.353000	1.080213	0.995784	1.000000	1.382600	0.217785	0.167253	0.182952	0.289264	0.438365	0.341777	0.397065	0.225749	0.439768	0.337731	0.369432	0.584105	Liopholis_guthega,Liopholis_montana,Liopholis_personata,Liopholis_whitii	
102	3	2.142650	39091	39.091000	1.092526	0.997338	1.000000	1.478710	0.219722	0.158893	0.182414	0.297934	0.465148	0.362659	0.421324	0.239542	0.470787	0.340452	0.390850	0.638369	Liopholis_guthega,Liopholis_montana,Liopholis_whitii	
103	2	2.134700	41628	41.628000	1.110426	0.991317	1.000000	1.537771	0.223181	0.169809	0.183205	0.309851	0.463422	0.361313	0.419761	0.238653	0.476424	0.362491	0.391087	0.661439	Liopholis_guthega,Liopholis_montana	
104	1	9.016500	41405	41.405000	1.086088	0.992930	1.000000	1.291302	0.217271	0.168675	0.183569	0.243458	1.957391	1.526107	1.772978	1.008018	1.959022	1.520855	1.655154	2.195138	Liopholis_montana	
105	1	9.016500	41670	41.670000	1.128870	1.008508	1.000000	1.521025	0.224876	0.160360	0.184244	0.290857	1.957391	1.526107	1.772978	1.008018	2.027592	1.445885	1.661241	2.622509	Liopholis_guthega	
106	1	11.151200	38286	38.286000	0.997380	0.992467	1.000000	0.877542	0.200774	0.163804	0.181300	0.179555	2.420813	1.887420	2.192739	1.246671	2.238871	1.826610	2.021709	2.002252	Liopholis_whitii	
107	1	13.293850	34677	34.677000	0.995053	0.983882	1.000000	0.850582	0.200414	0.160562	0.181966	0.180883	2.885960	2.250079	2.614063	1.486213	2.664269	2.134489	2.419035	2.404628	Liopholis_personata	
108	1	16.287515	25175	25.175000	1.173378	1.008604	1.000000	1.624984	0.237320	0.164038	0.193009	0.313684	3.535855	2.756778	3.202728	1.820896	3.865354	2.671770	3.143637	5.109140	Liopholis_pulchra	
109	1	22.069464	21477	21.477000	1.288563	0.991885	1.000000	2.015985	0.259462	0.178102	0.198362	0.378248	4.791058	3.735414	4.339673	2.467300	5.726192	3.930621	4.377754	8.347741	Lissolepis_coventryi	
110	1	25.576110	10149	10.149000	1.048234	1.031686	1.000000	0.784404	0.220057	0.165942	0.196090	0.183948	5.552315	4.328938	5.029210	2.859333	5.628204	4.244156	5.015219	4.704666	Lissolepis_luctuosa	
111	1	36.553010	6901	6.901000	1.157894	1.040919	1.000000	1.486238	0.244363	0.177025	0.198145	0.316563	7.935289	6.186857	7.187674	4.086518	8.932210	6.470806	7.242796	11.571316	Corucia_zebrata	
112	4	45.812410	7552	7.552000	1.062004	0.982557	1.000000	1.031845	0.228000	0.178476	0.194819	0.261493	9.945411	7.754076	9.008415	5.121691	10.445238	8.176401	8.925128	11.979647	Tribolonotus_blanchardi,Tribolonotus_gracilis,Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
113	3	8.146600	20580	20.580000	1.313504	0.977821	1.000000	2.448600	0.271400	0.179066	0.190835	0.500139	1.768545	1.378870	1.601923	0.910766	2.210989	1.458781	1.554652	4.074436	Tribolonotus_blanchardi,Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
114	2	13.000000	23433	23.433000	1.022944	0.987748	1.000000	1.185916	0.216633	0.171913	0.184526	0.285218	2.822169	2.200342	2.556281	1.453361	2.816234	2.234874	2.398838	3.707836	Tribolonotus_ponceleti,Tribolonotus_pseudoponceleti	
115	1	7.000000	23449	23.449000	1.018566	0.992866	1.000000	1.075330	0.214790	0.163813	0.184617	0.246087	1.519629	1.184800	1.376459	0.782579	1.503529	1.146690	1.292319	1.722610	Tribolonotus_pseudoponceleti	
116	1	7.000000	23310	23.310000	1.003435	0.966768	1.000000	1.001342	0.212456	0.172306	0.184253	0.233988	1.519629	1.184800	1.376459	0.782579	1.487193	1.206142	1.289771	1.637917	Tribolonotus_ponceleti	
117	1	20.000000	17863	17.863000	1.001872	1.003527	1.000000	0.849142	0.212346	0.163596	0.186885	0.209092	4.341798	3.385142	3.932740	2.235940	4.246914	3.271929	3.737700	4.181845	Tribolonotus_blanchardi	
118	1	28.146600	9186	9.186000	1.210349	1.004516	1.000000	1.730782	0.253118	0.167507	0.197675	0.341787	6.110342	4.764012	5.534663	3.146706	7.124398	4.714762	5.563879	9.620154	Tribolonotus_gracilis	




