SampleID,nRawReads,nRawBases,nMergedReads,nMergedBases,nUnmergedReads,nUnmergedBases,RawCoverage,nLoci125,nLoci250,nLoci500,nLoci1000,AvgLocLenAll,AvgLocLenUpper,%OnTarget,ReadsPerLocus,BasesPerLocus,AvgNHomologs,DupRateAll,DupRateLast1000,ACGT Count,N Count,Other Base Count,ContamProp
ABTC50170,10562400,2094552900,3580557,824726931,3401286,1020385800,2933.547479,390,390,388,383,1946.947891,1841.024814,34.20504446,10361.97767,1566058.635,1.923076923,0.534161558,0.069,1248247,4463,16883,3.81862E-20
ABTC50418,1798833,309132000,768393,167107980,262047,78614100,432.9579832,390,390,386,350,1560.044665,1408.141439,38.63737886,1236.692308,235584.5434,1.35235732,0.474530717,0.604,736616,337,2113,1.19888E-13
ABTC53933,984650,162874500,441735,94149107,101180,30354000,228.1155462,391,390,382,331,1474.930521,1310.930521,38.6130163,611.2431762,119291.3275,1.255583127,0.395693382,0.533,676525,177,1834,3.08202E-08
ABTC53997,18867860,3879929400,5934762,1279258050,6998336,2099500800,5434.07479,391,390,389,382,1921.813896,1767.48139,11.00688686,5683.486352,922819.2655,2.64764268,0.408073416,0.593,1532890,4109,15509,7.04794E-25
ABTC54006,2785617,506258100,1098090,244724962,589437,176831100,709.044958,390,390,388,369,1691.729529,1542.086849,35.55587323,2028.903226,371930.3697,1.466501241,0.423883944,0.616,848250,1046,4020,1.21065E-12
ABTC53949,4280936,809216100,1583549,357461798,1113838,334151400,1133.355882,391,391,390,371,1748.91067,1607.225806,29.82178154,2890.878412,511790.0174,1.578163772,0.418801838,0.588,921651,1215,7843,8.13139E-15
ABTC54924,16551639,3047892600,6391997,1323368674,3767645,1130293500,4268.757143,391,391,391,387,2011.26799,1855.833747,20.34949914,7997.466501,1238977.576,1.756823821,0.452429228,0.671,1183485,3601,15145,3.26649E-09
ABTC54897,14904526,3070627500,4669101,1047823675,5566324,1669897200,4300.598739,391,391,390,385,2113.012407,1955.610422,21.1492185,9326.816377,1426244.978,1.784119107,0.464053827,0.631,1266876,5934,20389,5.54376E-27
ABTC54961,377407,64634700,161958,33492516,53491,16047300,90.52478992,386,383,363,278,1314.746898,1121.717122,31.67390852,208.6774194,38935.97022,1.163771712,0.374157044,0.493,584053,93,1542,1.18139E-19
ABTC54968,6333184,1186918800,2376788,517414013,1579608,473882400,1662.351261,390,390,390,374,1795.992556,1644.521092,25.93096672,3701.19603,637847.9975,1.694789082,0.465175258,0.639,973320,2303,6632,1.76944E-09
ABTC55216,14780774,2904765600,5098222,1076307646,4584330,1375299000,4068.29916,389,389,387,375,1957.92804,1805.468983,14.91687235,5814.119107,907451.6973,1.714640199,0.339678039,0.461,1190812,6100,22202,2.46785E-50
ABTC57273,4402537,843133800,1592091,363248272,1218355,365506500,1180.859664,390,390,388,375,1790.325062,1643.548387,27.45268967,2848.168734,496433.7122,1.58808933,0.323379983,0.529,955238,3895,10367,1.10022E-25
ABTC57682,9104676,1752704400,3262328,714687472,2580020,774006000,2454.768067,386,386,383,362,1809.471464,1658.012407,18.61708345,4143.540943,687720.3623,1.627791563,0.357277718,0.518,1054856,3915,14956,8.00936E-39
ABTC57871,6539945,1320148500,2139450,481571329,2261045,678313500,1848.947479,386,385,383,366,1904.900744,1757.652605,26.16177783,4674.066998,752968.9628,1.660049628,0.39569446,0.564,1082714,8142,19752,5.88975E-05
ABTC58180,5301134,1035711300,1848763,411885991,1603608,481082400,1450.57605,388,386,383,363,1801.674938,1656.404467,26.30977035,3488.473945,582972.5385,1.573200993,0.362597762,0.541,998058,4294,12461,1.54477E-17
ABTC58241,8035695,1555262100,2851488,642527388,2332719,699815700,2178.238235,387,387,385,362,1805.01737,1664.042184,19.08990513,3863.171216,635861.0968,1.674937965,0.343248994,0.545,1049057,5774,25656,6.67254E-11
ABTC70143,1711476,373657800,465950,110531143,779576,233872800,523.3302521,376,375,365,339,1596.367246,1453.744417,26.62325414,1354.240695,227522.4243,1.35483871,0.366698466,0.55,795347,1186,5141,1.70729E-05
ABTC61607,13065771,2714150700,4018602,917733049,5028567,1508570100,3801.331513,388,388,383,370,1941.19603,1786.632754,15.80801868,6074.399504,951738.1017,1.665012407,0.385871987,0.581,1142720,7290,20268,5.28663E-13
